500 3
10.294 -9.720 -1.559
10.048 -11.519 -0.322
 9.702 -8.962  0.281
10.229 -7.909 -0.396
 8.451 -10.096  0.686
10.414 -9.896 -0.849
11.476 -10.723  0.073
 9.546 -8.403 -0.726
 9.714 -8.572  0.023
12.391 -9.319 -1.071
10.642 -9.986 -0.301
 9.593 -10.423  0.038
10.584 -9.185  1.503
10.447 -10.404 -0.646
10.100 -7.672  0.503
 9.180 -10.496 -0.577
 9.710 -10.598 -1.135
10.994 -8.467  0.856
10.712 -8.801 -1.267
 9.593 -12.324  0.129
-9.430 -10.338  1.522
-11.370 -10.695  0.662
-9.738 -10.181  0.046
-10.372 -10.365 -0.515
-8.663 -9.891 -0.435
-10.693 -9.633 -0.211
-10.600 -9.739  2.929
-10.780 -10.664 -0.810
-10.536 -11.766 -1.963
-10.661 -9.244  0.278
-10.145 -10.318  0.357
-10.543 -10.140 -1.404
-7.867 -10.529  0.085
-9.257 -10.744  0.672
-10.817 -10.022  0.454
-10.702 -12.385  1.283
-9.670 -10.437 -0.809
-9.995 -10.522  1.730
-10.332 -10.473  1.282
-8.706 -11.126 -0.788
-9.573 -10.656  0.400
-8.050 -9.843  0.675
-9.252 -8.989  0.638
-11.291 -9.156 -1.895
-8.116 -8.954  1.900
-10.452 -10.819  1.269
-11.339 -9.968  0.850
-9.055 -10.308 -0.373
-7.793 -9.560 -0.650
-9.663 -9.020  1.039
-10.209 -10.839 -0.028
-9.966 -10.701 -0.531
-9.757 -10.101 -2.085
-9.110 -8.492 -0.208
-8.484 -10.254 -1.556
-10.740 -9.782 -1.370
-10.034 -8.694  0.723
-10.875 -9.019  0.527
-12.104 -9.055  0.787
-9.523 -9.453  2.231
-10.344 -9.745  1.133
-11.833 -9.633 -1.290
-11.531 -9.970  1.539
-10.627 -9.415 -0.728
-8.431 -11.627 -0.177
-9.056 -8.407 -0.172
-9.984 -10.127 -0.025
-9.680 -10.246 -0.563
-9.528 -10.171 -0.025
-11.058 -9.583  2.270
-9.880 -9.577  0.858
-10.230 -9.084  0.245
-10.466 -10.743 -0.422
-9.282 -10.113  0.752
-8.985 -9.387 -0.306
-9.195 -9.159 -1.086
-9.125 -11.890  0.613
-10.316 -9.935 -0.739
-11.173 -10.717 -0.126
-10.128 -11.039  0.926
-10.389 -9.350 -0.781
-11.102 -9.562 -1.734
-9.014 -10.428 -1.898
-10.325 -8.029  0.534
-11.147 -10.410  0.810
-11.122 -9.571 -0.801
-10.748 -10.193 -0.551
-9.926 -7.833 -1.331
-8.886 -10.426 -0.735
-11.749 -11.399  0.017
-11.743 -8.448  1.028
-9.724 -12.175  0.395
-9.694 -9.928  0.869
-10.842 -9.714 -0.504
-9.503 -11.037 -1.188
-10.785 -9.013 -0.321
-10.136 -10.181  0.416
-9.900 -9.448 -0.440
-9.787 -11.601  0.448
-10.469 -8.009  1.705
-8.142 -9.547  2.272
-10.528 -10.776 -0.232
-9.623 -9.679  0.461
-12.233 -10.489  0.521
-11.075 -10.825 -0.897
-10.144 -8.455  1.510
-10.342 -9.052 -2.240
-8.828 -9.554 -1.305
-7.390 -10.786 -0.221
-10.325 -8.081 -1.321
-9.118 -9.250 -1.554
-7.474 -9.534  0.904
-10.235 -8.725  1.023
-10.716 -8.024  0.903
-10.936 -10.207  1.595
-9.516 -9.582  1.302
-9.645 -9.616 -1.003
-10.656 -9.222  0.385
-10.334 -12.175  0.101
-9.822 -9.322  0.593
-0.990  0.545 11.916
 1.183  0.140 12.155
-2.761  0.363 12.987
-1.587  0.869 13.229
 0.555  0.277 12.037
-0.247 -0.855 13.436
 0.885 -0.142 12.221
 0.060  0.185 12.659
-0.274  0.209 13.448
 0.987 -1.286 12.058
-1.623  0.886 11.357
-1.256  0.875 12.677
-1.281 -0.490 13.724
-0.918 -0.286 10.328
-1.540 -0.846 12.807
-0.495  0.269 12.467
 1.870 -0.631 11.781
-0.729 -0.705 12.671
 1.641  0.093 12.615
 0.498  0.034 12.893
 0.278  1.411 12.019
-1.523 -0.402 12.599
-0.942  0.635 11.109
 1.547  1.511 12.237
-0.179 -0.403 13.089
 0.779 -1.064 12.847
 0.872  1.061 13.962
-1.612 -1.171 13.261
-1.047  1.409 12.373
 0.679  0.821 11.951
 0.721  0.579 12.919
-1.075 -0.815 13.281
 0.650  0.036 14.167
-1.110  0.034 11.648
 0.582 -0.692 12.716
 0.402  1.631 12.059
 0.065 -0.882 11.698
-1.628  0.664 11.630
 0.485  1.245 11.196
 0.954 -0.211 13.088
 0.094 -2.227 12.203
-0.616  0.600 13.504
 1.484 -0.113 12.416
-0.898  0.841 13.952
-0.319 -0.355 12.481
 1.118 -1.062 12.406
 0.487 -0.960 13.122
 0.200  0.080 11.757
 1.126  1.178 13.278
 3.482 -1.279 11.776
 0.545 -1.781 13.542
-0.045 -1.083 12.108
 0.084  0.458 12.390
 1.126  0.480 13.893
-1.384 -0.332 13.747
 0.859 -1.115 12.144
 0.073 -2.147 13.980
 0.745 -0.559 11.834
 2.386  0.013 12.416
-0.117  0.860 14.217
-0.713  0.541 14.442
-2.041  0.305 12.306
 0.786  0.315 11.773
-1.045 -0.022 12.080
 0.917 -1.956 12.955
 0.030  0.400 13.789
-1.318 -0.851 13.436
 0.422 -0.137 14.114
-0.810 -1.832 14.095
 0.395 -0.011 13.632
 1.189  0.500 13.225
 0.705  1.127 11.896
 0.247  1.438 11.276
-0.190  0.261 13.334
 0.166  0.410 12.132
-1.000  0.258 12.427
 0.792  2.391 13.631
-0.566 -1.761 13.727
 0.381  1.053 12.879
-0.303 -0.832 11.989
-1.237 -1.013 13.138
 1.388 -1.228 14.689
-0.855  0.523 13.591
 0.786  0.718 11.959
 0.414 -0.084 10.890
-0.349 -0.416 12.239
 1.072  0.026 11.764
 1.083  0.660 14.219
-2.490  1.422 12.634
-0.616  0.055 11.395
-0.452  1.004 11.660
-1.750  1.057 12.051
-0.868  1.496 12.786
-0.310 -0.694 12.094
 0.931  0.056 12.636
-1.267  0.407 12.372
-0.094  1.742 12.307
 0.701  1.113 12.493
 2.156  1.264 12.018
 0.779 -0.278 12.674
